,,,,,,,,,,,,,,,
,KM,10,10,8,42,,10,14,94,,,,,,
,VECKA 22,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Fartlek,Easy run,SCC3,Easy run,5x4 trösk ,Parkrun,Easy run,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,med,Låg,Tävling,Låg,med,Tävling,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,45,60,45,60,60,60,60,"6,5",,,,,,
,Info,2x1000 + 4x500 flytfart @3:45,,,,5x4 kontrollerat,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,10,8,10,10,12,10,70,,,,,,
,VECKA 23,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Easy run,DM srpint,Easy run,Ösaträffen,Ösaträffen,Ösaträffen,7,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,Låg,Låg,Tävling,Låg,Tävling,Tävling,Tävling,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,60,60,45,30,80,80,100,"7,583333333",,,,,,
,Info,,,,3x1/1 flyt,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,10,8,6,10,10,15,69,,,,,,
,VECKA 24,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,Easy OL,5x4 trösk ,Easy run,Easy run,Jukola,,6,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,Låg,Låg,med,Låg,Låg,Tävling,,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,60,60,60,60,30,80,,"5,833333333",,,,,,
,Info,,,5x4 kontrollerat @3.40,,3x1/1 flyt,,VILA,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,10,10,10,6,10,,56,,,,,,
,VECKA 25,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,,Easy run,45 LT,Easy run,3x10 LT,Easy OL,Easy OL,8,,,,,,
,,,,,,5x4 AT,Easy OL,,,,,,,,
,Intensitet,,Låg,med,Låg,med,Låg,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,,60,75,60,120,120,60,"8,25",,,,,,
,Info,VILA,3x1/1 flyt,45 min i 4:20,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,10,14,10,20,20,10,84,,,,,,
,VECKA 26,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy OL,Easy OL,45 LT OL,Easy OL,Easy OL,Easy OL,3x10 LT,9,,,,,,
,,,,,,5x4 min backe @AT,,5x4 AT,,,,,,,
,Intensitet,Låg,Låg,med,Låg,med,Låg,med,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,60,60,60,120,120,60,120,10,,,,,,
,Info,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,10,10,20,20,10,20,100,,,,,,
,VECKA 27,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Easy run,45 LT,Easy run,3x10 LT,Easy OL,Gotland 2dagars,Gotland 2dagars,8,,,,,,
,,,,,5x4 AT,,,,,,,,,,
,Intensitet,Låg,med,Låg,med,Låg,Tävling,Tävling,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,75,75,75,120,60,80,100,"9,75",,,,,,
,Info,3x1/1 flyt,45 min i 4:20,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,15,14,15,20,10,10,16,100,,,,,,
,VECKA 28,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,,Gotland 3dagars,Gotland 3dagars,Gotland 3dagars,Easy run,Easy OL,Easy OL,6,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,,Tävling,Tävling,Tävling,Låg,Låg,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,,80,80,100,60,90,60,"7,833333333",,,,,,
,Info,VILA,,,,3x1/1 flyt,,3x1/1 flyt,,,,,,,
,,,,,,,,,,,,,,,
,KM,,10,10,15,10,15,10,70,,,,,,
,VECKA 29,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,200ingar,Easy OL,Easy run,Fartlek,Easy OL,Easy run,Easy OL,8,,,,,,
,,Easy run 8k,,,,,,,,,,,,,
,Intensitet,hög,Låg,Låg,med,Låg,Låg,Låg,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,60,60,60,45,60,30,45,6,,,,,,
,Info,10x200/2min @29-33,,,2x1000 + 4x500 flytfart @3:45,,3x1/1 flyt,,,,,,,,
,,,,,,,,,,,,,,,
,KM,10,10,10,10,10,6,5,61,,,,,,
,VECKA 30,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,Oringen,Oringen,,Oringen,Oringen,Oringen,,5,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,Tävling,Tävling,,Tävling,Tävling,Tävling,,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,100,80,,100,80,100,,"7,666666667",,,,,,
,Info,,,VILA,,,,VILA,,,,,,,
,,,,,,,,,,,,,,,
,KM,15,10,,15,10,15,,65,,,,,,
,VECKA 31,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,,,,,,,,,,,,,,
,Tid på dagen,,,,,,,,,,,,,,
,Tid,,,,,,,,0,,,,,,
,Info,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,KM,,,,,,,,0,,,,,,
,VECKA 32,Måndag,Tisdag,Onsdag,Torsdag,Fredag,Lördag,Söndag,Totalt,,,,,,
,Pass,,,,,,,,0,,,,,,
,,,,,,,,,,,,,,,
,Intensitet,,,,,,,,,,,,,,
